Text type,Key elements of text type,Features at Grade 3
Stories,A problem is resolved.,"The focus is on characters and how they resolve a dilemma. Typically, any interactions are between two characters only, though there may be an additional minor character. Actions are limited and clearly related to a consequence."
Information (descriptions),"An event, location, lifestyle, daily habit, object, plant, or animal is described.","The focus is on presenting an idea or an event rather than characters. Typically gives an account of a familiar activity, description of a familiar setting, or simple factual information. Details are limited. Multiple people may be named, but they are not developed as characters."
